date,total_trades,total_volume_usd,avg_trade_size,total_pnl,total_fees,win_rate,sentiment
2023-05-01,3,477.0,159.0,0.0,0.0,0.0,greed
2023-12-05,9,50005.83,5556.203333333334,0.0,12.501455,0.0,greed
2023-12-14,11,113203.35,10291.213636363636,-205.43473700000007,28.300831000000002,0.36363636363636365,greed
2023-12-15,2,10609.95,5304.975,-24.632033999999997,2.652489,0.0,greed
2023-12-16,3,15348.77,5116.256666666667,0.0,3.8371890000000004,0.0,greed
2023-12-17,14,116278.02,8305.572857142857,304.982785,29.069499,0.5,greed
2023-12-18,2,31164.179999999997,15582.089999999998,0.0,7.791045,0.0,greed
2023-12-19,15,91602.41,6106.827333333334,1000.5386120000001,22.900596,0.6666666666666666,greed
2023-12-20,18,141636.79,7868.710555555556,162.732282,35.409187,0.4444444444444444,greed
2023-12-21,49,125233.97,2555.795306122449,537.211402,31.308469,0.5306122448979592,greed
2023-12-22,10,88874.28,8887.428,141.832675,22.218566000000003,0.2,greed
2023-12-23,13,78438.25,6033.711538461538,146.936704,19.609555,0.6153846153846154,greed
2023-12-24,39,402954.94,10332.177948717948,1008.619956,100.738715,0.38461538461538464,greed
2023-12-25,3,59948.51,19982.836666666666,-245.081348,14.987124999999999,0.0,greed
2023-12-27,28,171411.06,6121.823571428571,-704.8892269999999,42.852747,0.14285714285714285,greed
2023-12-28,23,100117.25,4352.923913043478,-970.730876,25.0293,0.0,greed
2023-12-29,50,569559.72,11391.1944,508.92214299999995,142.389901,0.3,greed
2023-12-30,52,702550.21,13510.58096153846,354.998648,175.637526,0.4423076923076923,greed
2024-01-01,18,264239.52999999997,14679.973888888888,-129.53146,66.059867,0.05555555555555555,greed
2024-01-02,17,121348.74,7138.1611764705885,783.979116,30.337176,0.47058823529411764,greed
2024-01-03,67,394499.36,5888.050149253731,866.015507,98.624811,0.417910447761194,greed
2024-01-04,5,99792.54000000001,19958.508,-67.60364,24.948132,0.0,greed
2024-01-05,66,1703942.66,25817.31303030303,164.141565,425.985639,0.19696969696969696,greed
2024-01-06,22,298521.4,13569.154545454547,135.58166400000002,74.630342,0.45454545454545453,greed
2024-01-07,97,1048850.06,10812.887216494846,-835.681235,262.212464,0.09278350515463918,greed
2024-01-08,128,1522452.43,11894.159609375,-269.874439,380.613064,0.25,greed
2024-01-09,70,870051.97,12429.313857142857,-826.349863,204.012928,0.2571428571428571,greed
2024-01-10,193,2057479.48,10660.515440414507,-1517.091342,434.044865,0.21243523316062177,greed
2024-01-11,21,305314.1,14538.766666666666,-164.08950099999998,75.867171,0.23809523809523808,greed
2024-01-12,7,200082.27,28583.181428571428,-1925.519024,49.480726999999995,0.0,greed
2024-01-15,14,50636.1,3616.8642857142854,152.85358,12.652712,0.6428571428571429,neutral
2024-01-16,9,116427.33,12936.37,-2299.171458,17.319309,0.3333333333333333,greed
2024-01-17,53,800831.03,15110.019433962265,813.2741110000001,159.707606,0.20754716981132076,greed
2024-01-18,46,424631.52999999997,9231.120217391304,68.93319,92.657901,0.06521739130434782,greed
2024-01-19,48,428428.97,8925.603541666665,-385.419235,93.051868,0.125,neutral
2024-01-20,106,1070090.51,10095.193490566038,-146.57487000000003,267.522583,0.14150943396226415,neutral
2024-01-21,11,103129.74,9375.43090909091,266.58114600000005,25.78243,0.2727272727272727,greed
2024-01-22,85,337878.99,3975.0469411764707,1375.640959,67.478268,0.27058823529411763,greed
2024-01-23,45,414518.93000000005,9211.531777777778,-369.2447299999998,85.72457,0.24444444444444444,neutral
2024-01-24,68,965084.59,14192.42044117647,-2808.353815,227.771095,0.14705882352941177,neutral
2024-01-25,6,66566.13,11094.355000000001,-3093.6293849999997,16.641532,0.0,neutral
2024-01-26,5,11773.21,2354.642,90.2,0.444235,0.2,neutral
2024-01-28,11,18109.03,1646.2754545454545,-2478.06972,-0.362176,0.0,neutral
2024-01-29,74,414208.18,5597.407837837838,486.562542,103.26260500000001,0.6081081081081081,greed
2024-01-30,49,401011.38,8183.905714285715,-173.65419100000003,100.25281,0.10204081632653061,greed
2024-01-31,859,6305647.13,7340.683504074505,-799.840817,1549.411475,0.2689173457508731,greed
2024-02-01,6,2008.18,334.69666666666666,0.0,0.5020439999999999,0.0,greed
2024-02-02,42,474278.43,11292.343571428572,456.423473,91.569636,0.30952380952380953,greed
2024-02-03,56,603820.0,10782.5,223.30918699999998,109.662349,0.10714285714285714,greed
2024-02-04,35,203187.53,5805.358,47.62389499999999,50.52688,0.2571428571428571,greed
2024-02-05,72,770198.26,10697.198055555556,-33.45419400000003,165.549465,0.19444444444444445,greed
2024-02-06,1088,8047153.41,7396.280707720588,-215.615907,988.606997,0.1645220588235294,greed
2024-02-07,15,6758.73,450.582,241.24212,0.339693,0.13333333333333333,greed
2024-02-08,10,26051.12,2605.112,770.756024,3.0028870000000003,0.4,greed
2024-02-11,34,212311.82,6244.465294117647,983.443176,24.955292,0.20588235294117646,greed
2024-02-12,16,227247.69999999998,14202.981249999999,913.8817869999998,27.111911,0.375,greed
2024-02-13,14,1999.99,142.85642857142858,559.44389,-0.039992,1.0,greed
2024-02-14,111,320839.88,2890.4493693693694,3830.599833,22.917474000000002,0.7477477477477478,greed
2024-02-15,63,185188.04,2939.4926984126987,1840.797677,30.706297,0.9047619047619048,greed
